,Consumer Cyclical
0,ABNB
1,ACVA
2,AMV
3,AMWD
4,AMZN
5,AOUT
6,AREB
7,ARHS
8,ARKO
9,ARKOW
10,ARKR
11,ARVL
12,ASO
13,ATER
14,AUVI
15,AUVIP
16,AYRO
17,BBBY
18,BBIG
19,BFI
20,BGFV
21,BIRD
22,BJRI
23,BKNG
24,BLBD
25,BLMN
26,BRLT
27,BSET
28,BTB
29,BTBD
30,BWMX
31,BZUN
32,CAAS
33,CAKE
34,CASY
35,CBRL
36,CDRO
37,CENN
38,CHDN
39,CHUY
40,CLAR
41,CNTY
42,CNXA
43,COLM
44,CONN
45,CPHC
46,CPRT
47,CRMT
48,CROX
49,CRWS
50,CTHR
51,CTIB
52,CTRN
53,CVCO
54,CVGI
55,CZR
56,DADA
57,DBGI
58,DENN
59,DIBS
60,DKNG
61,DLTH
62,DOGZ
63,DOOO
64,DORM
65,DRVN
66,DSEY
67,DXLG
68,DXYN
69,EBAY
70,EBET
71,EFOI
72,EJH
73,ELYS
74,EM
75,ESCA
76,ETSY
77,EVGO
78,EVK
79,EVTV
80,EXPE
81,EYE
82,EZGO
83,FAT
84,FATBB
85,FATBP
86,FFHL
87,FFIE
88,FGI
89,FIVE
90,FLL
91,FLWS
92,FLXS
93,FNKO
94,FORD
95,FOSL
96,FOXF
97,FRG
98,FRGAP
99,FRGI
100,FRSX
101,FRZA
102,FTDR
103,FUV
104,FWRG
105,GAMB
106,GAN
107,GDEN
108,GGR
109,GIII
110,GLBE
111,GMBL
112,GMBLP
113,GNTX
114,GOEV
115,GP
116,GRIL
117,GRWG
118,GT
119,GTIM
120,GTX
121,GTXAP
122,HAS
123,HEPS
124,HIBB
125,HLBZ
126,HNST
127,HOFT
128,HOUR
129,HTHT
130,HYZN
131,IMBI
132,INSE
133,INTG
134,INVZ
135,IPW
136,IRBT
137,ISPO
138,JACK
139,JAKK
140,JD
141,JFBR
142,JFBRW
143,JOAN
144,JOUT
145,JRSH
146,JWEL
147,JXJT
148,JZXN
149,KBAL
150,KEQU
151,KIRK
152,KNDI
153,KRT
154,KRUS
155,KXIN
156,LAKE
157,LAZR
158,LAZY
159,LCID
160,LCUT
161,LE
162,LEGH
163,LESL
164,LGIH
165,LI
166,LIDR
167,LIND
168,LIVE
169,LKQ
170,LNW
171,LOCO
172,LOTZ
173,LOVE
174,LQDT
175,LTRY
176,LULU
177,LVLU
178,MAR
179,MAT
180,MBUU
181,MCFT
182,MCRI
183,MELI
184,MLCO
185,MLKN
186,MMYT
187,MNRO
188,MOND
189,MONDW
190,MPAA
191,MRM
192,MULN
193,NAAS
194,NATH
195,NDLS
196,NEGG
197,NGMS
198,NHTC
199,NIU
200,NVFY
201,NVVE
202,OCG
203,ODP
204,OLPX
205,ONEW
206,ORLY
207,OSTK
208,OSW
209,OZON
210,PATK
211,PBPB
212,PDD
213,PENN
214,PEV
215,PIK
216,PLBY
217,PLCE
218,PLYA
219,POSH
220,PRPL
221,PRTS
222,PSNY
223,PSNYW
224,PTLO
225,PTON
226,PTRA
227,PTVE
228,PZZA
229,QRTEA
230,QRTEB
231,QRTEP
232,RAVE
233,RCKY
234,REAL
235,REE
236,RENT
237,REYN
238,RICK
239,RIDE
240,RIVN
241,RMBL
242,ROST
243,ROVR
244,RRGB
245,RRR
246,RUSHA
247,RUSHB
248,RUTH
249,SABR
250,SABRP
251,SBET
252,SBUX
253,SCVL
254,SECO
255,SEV
256,SFIX
257,SFT
258,SGC
259,SHOO
260,SNBR
261,SOLO
262,SOND
263,SPWH
264,STKS
265,STRT
266,SYPR
267,TA
268,TAST
269,TCOM
270,TDUP
271,THRM
272,TILE
273,TOUR
274,TRIP
275,TRS
276,TSCO
277,TSLA
278,TTSH
279,TXRH
280,TYDE
281,ULTA
282,URBN
283,UXIN
284,VC
285,VEEE
286,VEV
287,VIOT
288,VIRC
289,VLCN
290,VMAR
291,VRA
292,VRM
293,WEN
294,WEYS
295,WINA
296,WING
297,WISH
298,WKHS
299,WKSP
300,WNW
301,WOOF
302,WPRT
303,WW
304,WYNN
305,XELB
306,XPEL
307,XSPA
308,YJ
309,YTRA
310,ZUMZ
