,Industrials
0,AAL
1,AAON
2,AAWW
3,ACTG
4,ADES
5,ADP
6,ADSE
7,AEHL
8,AEIS
9,AERC
10,AGFY
11,AIMC
12,AIRT
13,AIRTP
14,ALGT
15,ALPP
16,AMSC
17,APOG
18,APWC
19,AQMS
20,ARCB
21,ARTW
22,ASLE
23,ASTC
24,ASTE
25,ASTR
26,ATCX
27,ATRO
28,ATSG
29,ATXG
30,AVAV
31,AXON
32,AZ
33,BBCP
34,BBSI
35,BECN
36,BGRY
37,BKYI
38,BLDE
39,BLDP
40,BLNK
41,BWEN
42,BWMN
43,BYRN
44,BZ
45,CAR
46,CASS
47,CBAT
48,CEAD
49,CECE
50,CGRN
51,CHNR
52,CHRW
53,CLIR
54,CLWT
55,CMCO
56,CMPO
57,CODA
58,CPLP
59,CRAI
60,CRESY
61,CSTE
62,CSWI
63,CSX
64,CTAS
65,CTRM
66,CVLG
67,CVV
68,CWST
69,CYRX
70,DCFC
71,DFLI
72,DFLIW
73,DGLY
74,DLHC
75,DPRO
76,DRTT
77,DSGR
78,DSKE
79,DXPE
80,EDRY
81,EGLE
82,EH
83,EML
84,ENG
85,ENVX
86,EOSE
87,EPOW
88,ERII
89,ESEA
90,ESLT
91,ESOA
92,EVLV
93,EVLVW
94,EXPD
95,EXPO
96,FA
97,FAST
98,FCEL
99,FELE
100,FIP
101,FLUX
102,FORR
103,FPAY
104,FSTR
105,FTAI
106,FTAIN
107,FTAIO
108,FTAIP
109,FTEK
110,FWRD
111,GASS
112,GFAI
113,GIFI
114,GLBS
115,GLDD
116,GOGL
117,GRIN
118,GRNQ
119,GTEC
120,GWAV
121,HA
122,HAYN
123,HCCI
124,HEES
125,HHR
126,HIHO
127,HLMN
128,HOLI
129,HON
130,HQI
131,HSII
132,HSON
133,HTLD
134,HTZ
135,HUBG
136,HURC
137,HURN
138,HYFM
139,HYRE
140,ICFI
141,IDEX
142,IEP
143,IESC
144,ILAG
145,IPDN
146,IPWR
147,ISSC
148,IVAC
149,IVDA
150,JAN
151,JBHT
152,JBLU
153,JCSE
154,KE
155,KELYA
156,KELYB
157,KFRC
158,KITT
159,KITTW
160,KRNT
161,KSCP
162,KTOS
163,LASE
164,LECO
165,LGMK
166,LILM
167,LIQT
168,LMB
169,LSTR
170,LTBR
171,LZ
172,MATW
173,MESA
174,MGRC
175,MIDD
176,MNTS
177,MNTX
178,MRCY
179,MRTN
180,MTRX
181,MVST
182,MYRG
183,NDSN
184,NEOVW
185,NKLA
186,NNBR
187,NSSC
188,NVEE
189,NVX
190,NWPX
191,ODFL
192,OESX
193,OFLX
194,OMAB
195,OMEX
196,OP
197,PANL
198,PATI
199,PAYX
200,PCAR
201,PCT
202,PCTTU
203,PESI
204,PFIN
205,PFMT
206,PFSW
207,PIXY
208,PKOH
209,PLPC
210,PLUG
211,POLA
212,POOL
213,POWL
214,POWW
215,POWWP
216,PPIH
217,PPSI
218,PRIM
219,PSHG
220,PTSI
221,PXS
222,PXSAP
223,PYR
224,QRHC
225,RADA
226,RAIL
227,RCII
228,RCMT
229,RCRT
230,RFIL
231,RGP
232,RKLB
233,ROAD
234,ROCK
235,RVSN
236,RYAAY
237,SAIA
238,SBLK
239,SCWO
240,SGBX
241,SGLY
242,SGRP
243,SHIP
244,SHYF
245,SIDU
246,SKYW
247,SKYX
248,SLDP
249,SNCY
250,SNT
251,SP
252,SPCB
253,SRCL
254,STAF
255,STRL
256,SWBI
257,SWIM
258,TATT
259,TAYD
260,TBLT
261,TH
262,TITN
263,TOMZ
264,TOPS
265,TPIC
266,TRNS
267,TSP
268,TTEK
269,TUSK
270,TWIN
271,UAL
272,UGRO
273,UHAL
274,ULBI
275,ULCC
276,ULH
277,UPWK
278,USEA
279,VIEW
280,VIEWW
281,VORB
282,VRME
283,VRRM
284,VRSK
285,VSEC
286,VTSI
287,WERN
288,WHLM
289,WIRE
290,WLDN
291,WLFC
292,WSC
293,WWD
294,XMTR
295,XOS
296,XPON
297,YELL
298,YGMZ
