,Real Estate
0,AEI
1,AFCG
2,AGNC
3,AGNCL
4,AGNCM
5,AGNCN
6,AGNCO
7,AGNCP
8,ASPS
9,AVCO
10,BPYPN
11,BPYPO
12,BPYPP
13,CHCI
14,CHG
15,CIGI
16,CMCT
17,CMCTP
18,CSGP
19,DHC
20,DUO
21,EQIX
22,EXPI
23,FLJ
24,FRPH
25,FSV
26,FTHM
27,GGE
28,GIPR
29,GLPI
30,GOOD
31,GOODN
32,GYRO
33,HCDI
34,HCDIP
35,HST
36,HTIA
37,HTIBP
38,ILPT
39,INDT
40,LAMR
41,LAND
42,LANDM
43,LANDO
44,LOAN
45,LSEA
46,MAYS
47,MDJH
48,MDRR
49,MDRRP
50,NMRK
51,NYMT
52,NYMTL
53,NYMTM
54,NYMTN
55,NYMTZ
56,OPEN
57,OPI
58,PCH
59,PECO
60,RDFN
61,REAX
62,REFI
63,REG
64,RMR
65,ROIC
66,RTL
67,RTLPO
68,RTLPP
69,SBAC
70,SBRA
71,SELF
72,SEVN
73,SOHO
74,SOHOB
75,SOHON
76,SOHOO
77,SQFT
78,SQFTP
79,STRS
80,SVC
81,UK
82,UNIT
83,VINO
84,WHLR
85,WHLRD
86,WHLRP
