,Technology
0,AAOI
1,AAPL
2,AATC
3,ABST
4,ACIW
5,ACLS
6,ACMR
7,ADBE
8,ADEA
9,ADI
10,ADSK
11,ADTN
12,AEHR
13,AEY
14,AEYE
15,AFRM
16,AGIL
17,AGMH
18,AGYS
19,AHI
20,AIP
21,AIRG
22,AKAM
23,AKTS
24,ALF
25,ALGM
26,ALKT
27,ALLT
28,ALOT
29,ALRM
30,ALTR
31,ALYA
32,AMAT
33,AMBA
34,AMD
35,AMKR
36,AMOT
37,AMPG
38,AMPL
39,AMST
40,AMSWA
41,ANSS
42,ANY
43,AOSL
44,APCX
45,API
46,APP
47,APPF
48,APPN
49,APPS
50,ARBE
51,ARBEW
52,ARQQ
53,ARRY
54,ASML
55,ASNS
56,ASTI
57,ASUR
58,ASYS
59,ATOM
60,AUDC
61,AUID
62,AUR
63,AUUD
64,AVCT
65,AVDX
66,AVGO
67,AVID
68,AVNW
69,AVPT
70,AVT
71,AWRE
72,AXTI
73,AZPN
74,BAND
75,BASE
76,BCAN
77,BCOV
78,BEEM
79,BELFA
80,BELFB
81,BIGC
82,BL
83,BLBX
84,BLIN
85,BLKB
86,BLZE
87,BMBL
88,BNFT
89,BNSO
90,BOSC
91,BOXL
92,BRQS
93,BRZE
94,BSQR
95,BSY
96,BTRS
97,CAMP
98,CAMT
99,CAN
100,CASA
101,CCSI
102,CD
103,CDNS
104,CDW
105,CETX
106,CETXP
107,CEVA
108,CFLT
109,CGNT
110,CGNX
111,CHKP
112,CIH
113,CISO
114,CLBT
115,CLFD
116,CLPS
117,CLRO
118,CLSK
119,CMBM
120,CMTL
121,CNDT
122,CNXC
123,CNXN
124,COHR
125,COHU
126,COIN
127,COMM
128,CORZ
129,COUP
130,CPSH
131,CPTN
132,CRCT
133,CRDO
134,CREX
135,CRGE
136,CRNC
137,CRNT
138,CRSR
139,CRUS
140,CRWD
141,CSCO
142,CSGS
143,CSIQ
144,CSPI
145,CTG
146,CTLP
147,CTSH
148,CUEN
149,CVLT
150,CVT
151,CYBE
152,CYBR
153,CYN
154,CYRN
155,CYXT
156,DAIO
157,DAKT
158,DATS
159,DAVE
160,DBX
161,DCBO
162,DCT
163,DDOG
164,DGHI
165,DGII
166,DIOD
167,DJCO
168,DLO
169,DMRC
170,DOCU
171,DOMO
172,DOX
173,DSGX
174,DSP
175,DSWL
176,DTSS
177,DTST
178,DUOL
179,DUOT
180,DZSI
181,EBIX
182,EBON
183,EEFT
184,EGAN
185,EGIO
186,ELSE
187,ELTK
188,EMBK
189,EMKR
190,ENPH
191,ENTG
192,ERIC
193,EVBG
194,EVCM
195,EVOP
196,EXFY
197,EXLS
198,EXTR
199,EZFL
